Experiment,Left,,Right,,,,
,x,y,x,y,xr - xl,yr-yl,L
1,-22.5,24.8,2.3,22.5,24.8,-2.3,24.9
2,-22.9,24.7,1.8,22.9,24.7,-1.8,24.8
1,-22.5,24.5,2.4,22.9,24.9,-1.6,25.0
1,-24.2,24.4,1.0,23.2,25.2,-1.2,25.2
3,-25.2,25.1,-0.4,25.2,24.8,0.1,24.8
4,-24.5,25.2,0.3,25.4,24.8,0.2,24.8
5,-25.0,24.9,-0.3,25.5,24.7,0.6,24.7
6,-24.8,25.4,0.0,25.4,24.8,0.0,24.8
7,-23.2,24.7,1.5,23.3,24.7,-1.4,24.7
8,-23.8,24.3,1.0,23.3,24.8,-1.0,24.8
9,-23.1,24.4,1.7,23.6,24.8,-0.8,24.8
10,-22.7,24.1,2.1,22.1,24.8,-2.0,24.9
11,-23.6,24.5,1.2,23.4,24.8,-1.1,24.8
12,-24.9,24.4,0.0,24.6,24.9,0.2,24.9
13,-23.3,25.5,1.5,23.7,24.8,-1.8,24.9
14,-24.0,24.6,0.8,24,24.8,-0.6,24.8
15,-23.6,24.4,1.2,23.2,24.8,-1.2,24.8
16,-23.6,25.1,1.3,23.8,24.9,-1.3,24.9
17,-25.4,24.3,-0.6,25,24.8,0.7,24.8
18,-22.7,24.9,2.0,22.7,24.7,-2.2,24.8
19,-25.3,24.4,-0.4,24.8,24.9,0.4,24.9
20,-24.5,25.3,0.3,24.9,24.8,-0.4,24.8
