timestamp: -1410205020, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410184327, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410163943, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410143621, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410123340, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410103043, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410082755, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410062484, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410042171, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410021910, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1410001655, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409981355, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409961064, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409940811, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409920536, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409900278, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409880009, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409859744, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409839484, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409289947, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409269470, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409249054, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409228680, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
timestamp: -1409208309, brakes: 1, current pwm signal:7, current velocity: 0.000000, current longitude: 0.00, current latitude: 0.00, current altitude: 0.00, currentPower: 0.00, currentTorque: 0.00
